Demand Level,Scenario,Resource Level,Trial,Percent Abandoned,Ambulance Utilisation,RRV Utilisation,Mean Response Time,Percent Response < 8,Percent Response < 15,Percent Response < 60,Percent Response within Target,Overall Survival
34,noRRV,78,2,0.04006365625621643,0.5669023223097737,,0.01739845202065773,0.010817307692307692,0.2052801724137931,0.9789041777188329,0.46518567639257297,0.46597454270512056
34,noRRV,78,3,0.0414026698545527,0.5653549308496811,,0.017525741228729033,0.010392417692051879,0.20705853009644162,0.9787994679082141,0.45660126371799137,0.4575062189558935
34,noRRV,78,4,0.040843426823870266,0.5598050341295266,,0.017288315909025985,0.011033730491693237,0.20926329921127707,0.9799882530625944,0.46366840073837895,0.46427178413992176
34,noRRV,78,5,0.04515825021597424,0.5703875219085477,,0.017573260071707977,0.009993419970389867,0.20718868234907056,0.976517519328837,0.4517190327356473,0.4540427210327405
34,noRRV,78,6,0.04766072565245067,0.5626337001969285,,0.017485016615319773,0.011112039435207619,0.2107110034255159,0.9776088227922132,0.46202690283231684,0.4631915072299217
34,noRRV,78,7,0.03704306103362746,0.5569815370791468,,0.017284075426235418,0.01068321932269234,0.20927286546744364,0.9811249049911325,0.46153196520564144,0.46201855721567925
34,noRRV,78,8,0.04068590481482952,0.5678911169366506,,0.017478362058734185,0.010054617676266137,0.20518867924528303,0.978732207878186,0.45440251572327045,0.4554795455156067
34,noRRV,78,9,0.03844307544603568,0.5646884608551562,,0.0173557845166191,0.010567042476182552,0.2110912343470483,0.9786579024004659,0.46507467654033363,0.4659430659078765
34,noRRV,78,10,0.03700097370983447,0.5587877427633858,,0.01734045139658049,0.010069093360296596,0.2074907313784968,0.9794826423997304,0.4651584091675093,0.4660461088899771
34,noRRV,78,11,0.04243349674515792,0.5609892821110624,,0.017385514622456813,0.011498111624003358,0.20935795216114142,0.9787242971044902,0.4619387326898867,0.46249980597863544
34,noRRV,79,0,0.03939284423563426,0.5552735809916791,,0.01734723251562559,0.010868656466850597,0.2111445531310091,0.9809798511830115,0.46275395033860045,0.46339085659780016
