A1,A2,B
0.000871,0.458385669,0.293150685
0.000871,0.10231823,0.090410959
0.000871,0.413365648,0.268493151
0.006350452,0.106410959,0.106849315
0.000871,0.159616438,0.22739726
0.003610726,0.241471022,0.2
0.000871,0.130967334,0.142465753
0.000871,0.282398314,0.323287671
0.000871,0.175987355,0.145205479
0.000871,0.163709168,0.101369863
0.003610726,0.769433087,0.594520548
0.000871,0.491127503,0.6
0.006350452,0.642558483,0.575342466
0.000871,0.130967334,0.145205479
0.000871,0.212821918,0.131506849
0.006350452,0.458385669,0.378082192
0.017309356,4.882625922,5.106849315
0.003610726,0.40518019,0.361643836
0.006350452,1.387435195,1.35890411
0.003610726,1.133685985,1.273972603
0.000871,0.380623815,0.336986301
0.000871,0.35197471,0.263013699
0.006350452,0.810360379,0.690410959
0.000871,0.020463646,0.019178082
0.003610726,0.155523709,0.115068493
0.000871,0.130967334,0.104109589
0.000871,0.053205479,0.060273973
0.000871,0.245563751,0.205479452
0.000871,0.10231823,0.106849315
0.003610726,0.572982086,0.55890411
0.000871,0.163709168,0.161643836
0.000871,0.466571128,0.380821918
0.003610726,0.462478398,0.394520548
0.000871,0.061390938,0.073972603
0.003610726,0.10231823,0.095890411
0.000871,0.147338251,0.156164384
0.000871,0.339696523,0.263013699
0.006350452,0.184172813,0.150684932
0.003610726,0.396994731,0.35890411
0.003610726,0.114596417,0.117808219
0.000871,0.180080084,0.17260274
0.003610726,0.090040042,0.082191781
0.003610726,0.184172813,0.175342466
0.000871,0.028649104,0.054794521
0.000871,0.221007376,0.134246575
0.000871,0.106410959,0.112328767
0.000871,0.106410959,0.076712329
0.000871,0.180080084,0.169863014
0.003610726,0.646651212,0.632876712
0.000871,0.032741834,0.02739726
0.003610726,0.55661117,0.44109589
0.003610726,0.323325606,0.208219178
0.000871,0.55661117,0.493150685
0.000871,0.118689146,0.139726027
0.000871,0.090040042,0.104109589
0.000871,0.446107482,0.484931507
0.000871,0.106410959,0.065753425
0.000871,0.147338251,0.095890411
0.000871,0.208729189,0.164383562
0.009090178,1.506124341,1.44109589
0.000871,0.35197471,0.353424658
0.000871,0.053205479,0.054794521
0.000871,0.30286196,0.238356164
0.006350452,0.609816649,0.476712329
0.000871,0.290583772,0.210958904
0.003610726,0.384716544,0.328767123
0.000871,0.008185458,0.021917808
0.006350452,0.167801897,0.205479452
0.006350452,0.135060063,0.142465753
0.000871,0.053205479,0.032876712
0.000871,0.212821918,0.249315068
0.003610726,1.019089568,1.071232877
0.000871,0.278305585,0.257534247
0.000871,0.106410959,0.076712329
0.003610726,0.135060063,0.104109589
0.000871,0.364252898,0.306849315
0.000871,0.180080084,0.109589041
0.006350452,0.372438356,0.37260274
0.000871,0.077761855,0.084931507
0.000871,0.126874605,0.180821918
0.000871,0.04911275,0.04109589
0.000871,0.167801897,0.164383562
0.000871,0.114596417,0.112328767
0.000871,0.290583772,0.328767123
0.003610726,0.744876712,0.906849315
0.003610726,0.274212856,0.249315068
0.000871,0.384716544,0.276712329
0.000871,0.216914647,0.150684932
0.000871,0.15143098,0.2
0.000871,0.028649104,0.010958904
0.000871,0.028649104,0.084931507
0.000871,0.118689146,0.115068493
0.006350452,0.429736565,0.397260274
0.000871,2.836261328,2.008219178
0.000871,0.208729189,0.142465753
0.000871,0.171894626,0.219178082
0.000871,0.081854584,0.038356164
0.000871,0.065483667,0.04109589
0.003610726,0.159616438,0.147945205
0.000871,0.065483667,0.082191781
0.003610726,0.274212856,0.169863014
0.000871,0.024556375,0.043835616
0.000871,1.137778714,1.049315068
0.000871,0.25374921,0.191780822
0.000871,0.032741834,0.030136986
0.000871,0.40518019,0.336986301
0.000871,0.008185458,0.002739726
0.003610726,0.364252898,0.317808219
0.000871,0.192358272,0.271232877
0.009090178,0.462478398,0.454794521
0.000871,0.040927292,0.032876712
0.003610726,1.747595364,1.304109589
0.003610726,0.396994731,0.37260274
0.000871,0.024556375,0.049315068
0.000871,0.098225501,0.065753425
